trackName,artistName,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Aashayein,KK,Folk/International,0.561,0.709,9,-10.247,1,0.0484,0.232,0.0,0.0992,0.509,115.006,0d54B7VI12WOMK8AoIWllf,260142,4
Aashayein - Slow Version,KK,Folk/International,0.417,0.134,9,-12.096,1,0.0321,0.979,9.61e-05,0.101,0.381,83.176,4vQ0PCcy5uPJBgLxCKarKK,72292,4
Aashiqui 2 Mashup,Arijit Singh,Folk/International,0.616,0.757,8,-5.877,0,0.0337,0.393,0.00267,0.165,0.538,96.976,5j7pU3PrmdKix8kkvPpBzE,302658,4
Aasman Ke,KK,Folk/International,0.558,0.746,7,-6.338,0,0.0389,0.0852,0.000302,0.258,0.342,120.096,5OWUUF8uJOr0VtA7akVmHX,257280,4
Ab Mujhe Raat Din,Sonu Nigam,Folk/International,0.68,0.524,5,-12.536,1,0.0306,0.161,0.0015,0.101,0.577,100.054,4y5mqhrI0tdYI4M3EFluxP,385253,4
Abhi Abhi,KK,Folk/International,0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,1tKhy83q8OsdcpZaX9N4Z2,342669,4
Abhi Mujh Mein Kahin,Ajay-Atul,Folk/International,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94e-05,0.113,0.42,129.959,73y649QhnXdcm6fRdvfraO,364787,1
Abhi Na Jao Chhod Kar,Asha Bhosle,Folk/International,0.569,0.31,3,-13.287,1,0.0371,0.79,0.0,0.341,0.587,97.244,2oaKoKA8bvgWfBi9M8wEVJ,258387,3
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,Pop,0.636,0.758,0,-5.567,1,0.0427,0.331,1.01e-05,0.16,0.281,97.025,4XII12nbsvJblXfG1I2QR4,214107,4
Actually I'm Good,Foreign Forest,Rap/Hip Hop,0.727,0.486,8,-8.364,1,0.0325,0.568,0.0,0.0889,0.362,118.038,4pUWMIfXJqRkLgJeEwvqxu,252203,4
Addict,Lund,Rap/Hip Hop,0.577,0.553,4,-7.648,0,0.0479,0.1,0.0,0.21,0.0546,145.974,1Dd2TFOUfL1tYMw53a8VJK,174247,4
Adiyogi (The Source of Yoga),Kailash Kher,Folk/International,0.611,0.512,11,-12.533,0,0.0361,0.3,0.000851,0.219,0.263,99.987,0fxglD52oLxhKpVv2od1x9,393220,1
Admiral Benbow,Michiel Schrey,Folk/International,0.516,0.482,7,-6.04,1,0.0421,0.579,0.0,0.307,0.368,170.178,03hLe0OA5UuP7VXr4VYURD,113973,4
Adrenaline,Lauv,Pop,0.651,0.688,6,-4.407,1,0.109,0.354,2.57e-06,0.0741,0.616,95.017,4ynpVFc18s3FxPEkJd5xZq,206368,4
Afghan Jalebi (Film Version),Pritam,Folk/International,0.84,0.884,0,-3.217,1,0.334,0.427,0.0,0.0885,0.972,118.007,1rEVydQSe04NJUqyyEyeEq,224207,4
Afraid,The Neighbourhood,Rock,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,7brQHA2CgQpcMBiOlfiXYb,251187,4
Africa,TOTO,Rock,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893,4
After All,Elton John,Rock,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,4A9g0WVvFYjJftYWWXXxP7,208715,4
After Midnight,Slushii,Electronic/Dance Music,0.418,0.965,10,-2.417,0,0.163,0.0477,3.88e-06,0.561,0.28,139.759,5NSr0xa9Qf4J8xKzDnC0uq,178519,4
After Rain,Aimer,Pop,0.653,0.783,10,-3.859,1,0.0298,0.00949,0.0,0.0791,0.636,119.992,0mpLgvlW0tztoBGKzfLRNr,292760,4
After the Love Has Gone,"Earth, Wind & Fire",Electronic/Dance Music,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,3cfnGXJ9bmiWvFqEO6ff8B,278040,4
Afterglow,Ed Sheeran,Pop,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,0E4Y1XIbs8GrAT1YqVy6dq,185487,4
Afterglow,Leroy Sanchez,Pop,0.659,0.273,11,-6.352,1,0.0285,0.823,0.0,0.121,0.292,110.171,1mypcM1775ZWFTUVHx6duy,186000,4
Afterlife,Ewan J Phillips,Country,0.342,0.279,1,-11.252,1,0.0376,0.521,0.00053,0.157,0.235,71.766,1MEZDVBm70AGVtvLLgskr8,227778,1
Again & Again,Fly By Midnight,Pop,0.728,0.694,1,-5.634,1,0.0645,0.188,0.000876,0.149,0.574,101.985,70fZer3o9XX9FEusMdyjY3,169412,4
Again to Goshintai,RADWIMPS,Pop,0.2,0.318,5,-11.267,1,0.0449,0.925,0.894,0.114,0.0465,119.593,5axz8UbmqJO9Yr0w8eMKUe,143253,4
Agar Tum Saath Ho,Alka Yagnik,Folk/International,0.654,0.408,3,-12.787,1,0.0695,0.743,0.0145,0.278,0.424,95.957,4OPBWPAQ98zh7jBaXyimlo,261060,4
Agent Vinod (Theme),Pritam,Folk/International,0.658,0.852,0,-3.07,1,0.044,0.000223,0.863,0.101,0.409,140.024,3mJnrwJ6RsdrxMNV92bQ1N,277950,4
Air Bnb,Central Cee,Rap/Hip Hop,0.897,0.728,0,-5.833,0,0.167,0.594,0.0,0.0735,0.678,139.895,03IjhYX3PKr6DWsGo2rD82,138121,4
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,Classical,0.157,0.378,2,-14.792,1,0.0389,0.674,0.914,0.136,0.144,141.592,3f4Iil1Tm7uyA1E0J0Eu4C,301320,4
Airplanes (feat. Hayley Williams of Paramore),B.o.B,Rap/Hip Hop,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,6lV2MSQmRIkycDScNtrBXO,180480,4
Ajab Si,KK,Folk/International,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58,117.954,5FXMRdJjKq1BIX4e8Eg9mK,241668,4
Ajnabi Hawaayein,Shreya Ghoshal,Folk/International,0.557,0.58,6,-6.566,0,0.0429,0.589,0.000245,0.124,0.453,80.051,6HyoNDIpx057slv9bwR75l,281658,4
Akhiyaan,Mitraz,Pop,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,2l3dFxtoSMgMQVyRIUHjpz,191869,4
Alive,Audrey Mika,Pop,0.591,0.335,9,-8.331,0,0.0339,0.601,0.0,0.0976,0.293,86.448,39LmkwLmeETbr80Uy7HIVU,197224,5
Alive,Empire of the Sun,Electronic/Dance Music,0.524,0.885,5,-3.079,1,0.037,0.0997,0.0,0.0708,0.395,119.954,5WBnKCEsPwsvWHUZmLjS3s,204591,4
Alive,Khalid,Pop,0.386,0.406,11,-10.419,1,0.0425,0.832,0.0597,0.171,0.205,78.616,12VqHHz4wvVcnEdSivjLeQ,177413,4
All 4 Nothing (I'm So In Love),Lauv,Pop,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99,7I5WT7DtpwSAhEeDLpZEfm,183014,4
All About That Bass,Meghan Trainor,Rap/Hip Hop,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,5jE48hhRu8E6zBDPRSkEq7,187920,4
All Around Me,Flyleaf,Rock,0.473,0.871,9,-4.893,1,0.0456,0.0216,0.0,0.0525,0.47,146.975,1zN6ynJG4PdR61YWv4PQ3Y,198507,4
All Around the World (La La La),R3HAB,Electronic/Dance Music,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,1D2Aldrksl9yWWCIPOeDzy,147840,4
All Because of You,Stephen Day,R&B/Soul,0.426,0.177,7,-13.334,1,0.0346,0.797,0.00615,0.113,0.247,118.155,0WtzuC09SXQ1jvxel6TnlK,238280,4
All Black,Raftaar,Rap/Hip Hop,0.813,0.734,10,-5.464,0,0.0577,0.072,0.0,0.118,0.652,107.967,7n6AQKpZUGiJM2auF3yuDY,218146,4
All Eyes On Me,Conro,Electronic/Dance Music,0.761,0.644,7,-6.765,1,0.0409,0.0532,0.00146,0.0838,0.444,111.993,680V5vxHWn2D11Yws0e12V,199286,4
All Eyes On Me (Song Only),Bo Burnham,Pop,0.247,0.442,6,-8.703,1,0.041,0.716,0.0,0.0655,0.261,62.952,47emsK4Cj4dMqctYq18U03,212861,4
All I Ask of You (feat. Pennybirdrabbit),Skrillex,Electronic/Dance Music,0.774,0.909,9,-2.89,0,0.0365,0.0173,0.121,0.0739,0.696,126.977,1A3XPibNuMPTbTWlPgRfTD,340341,4
All I Ever Wanted - Radio Edit,Basshunter,Electronic/Dance Music,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,2PTvik6EqPAIYOclAB3SU8,176453,4
All I Have Is My Smile,LIL DUSTY G,Rap/Hip Hop,0.636,0.808,0,-3.288,1,0.0534,0.0699,0.0,0.153,0.508,75.013,0v9efJ1lA4yhp3P2PLNKqM,99200,4
All I Know So Far,P!nk,Electronic/Dance Music,0.578,0.639,4,-5.749,1,0.0374,0.0586,0.0,0.0944,0.296,108.045,4LmN3eU1R1vVEdKuDELpGk,277413,4
All I Wanna Do,Jay Park,Pop,0.403,0.724,8,-6.064,1,0.246,0.377,0.0,0.0927,0.428,97.133,2FWquqPNxte8iqZ3ATQG0p,216786,4
All I Want,Kodaline,Pop,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,0NlGoUyOJSuSHmngoibVAs,305747,3
All In (feat. Jimmy Levy),NITTI,Electronic/Dance Music,0.288,0.754,6,-3.376,0,0.0476,0.0938,0.0,0.238,0.311,174.095,5gLNj5gftjqnYhPScCpsr2,234518,4
All Into Nothing,R3HAB,Electronic/Dance Music,0.571,0.763,9,-6.66,1,0.05,0.0421,0.0,0.394,0.21,99.955,4wPKG3qqGV2VRIIgxbZpwl,161400,4
All Is Fair in Love and Brostep,Skrillex,Electronic/Dance Music,0.581,0.925,11,-3.213,1,0.151,0.00112,0.0,0.406,0.269,139.982,3XThyUoEI8BPDjdu954Uof,249120,4
All Is Full Of Love,Björk,Pop,0.481,0.49,6,-10.098,1,0.0271,0.0536,0.123,0.0915,0.0378,152.04,3rrtbnOBDzKQfyYKTezEFe,287000,4
All Night - Cash Cash Remix; Radio Edit,Icona Pop,Pop,0.591,0.864,4,-2.04,1,0.155,0.0386,0.0,0.139,0.302,128.073,5Uo7AAr2d1CNZlaKgVUT3i,206250,4
All Night - Slowed N Reverb,The Vamps,Pop,0.607,0.678,8,-7.045,0,0.0335,0.00527,0.0,0.332,0.433,115.968,1gk5o5yEXAsHeXMJoavmh3,244798,4
All Night Long,Jonas Blue,Pop,0.572,0.811,6,-4.874,0,0.066,0.00887,5.65e-06,0.124,0.332,125.946,7rRMmhC027ixjjXzuZYoMv,206667,4
All The Things She Said,t.A.T.u.,Electronic/Dance Music,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,4bJygwUKrRgq1stlNXcgMg,214440,4
All This Time - Timmy Trumpet Remix,Deorro,Electronic/Dance Music,0.699,0.709,6,-6.316,0,0.0889,0.0976,0.000124,0.0852,0.426,149.975,77qICJwArD3Lk6s9BoZIxO,177718,4
All Time,Kurt Hugo Schneider,Pop,0.303,0.393,0,-8.926,1,0.0458,0.777,0.000102,0.106,0.396,180.23,4AKZMzmEUmT0MoR3xisgHM,200972,4
All Time Low,Jon Bellion,Rap/Hip Hop,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,0SuLAslEMFZAXf0SwY7syi,217603,4
All Your Exes,Julia Michaels,Pop,0.603,0.618,1,-5.184,1,0.0319,0.0232,0.0,0.118,0.323,112.114,2SDswD3RdceDWthkgCrCCU,209276,3
All for Me,Hoodie Allen,Rap/Hip Hop,0.74,0.7,4,-7.066,0,0.165,0.126,0.0,0.208,0.377,89.971,1yxO5CmOSNFq600UkDiPMn,224049,4
All for Me Grog,Linda Morrison,Folk/International,0.765,0.524,11,-5.821,0,0.101,0.755,0.0,0.239,0.551,114.697,1FQzF95qaPr0sQXIsjxDQm,126453,4
All of Me,John Legend,R&B/Soul,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560,4
